"Book Review: Discover Linux
","Marjorie Richardson
","-
","1998
","Linux Journal
"
"MOSFET table look-up models for circuit simulation
","
","
","1984
","Integration, the VLSI Journal
"
"The verification of the protection mechanisms of high-level language machines
","Virgil D. Gligor
","Univ. of Maryland, College Park
","1984
","International Journal of Parallel Programming
"
"Another view of functional and multivalued dependencies in the relational database model
","M. Gyssens;J. Paredaens
","Univ. of Antwerp, Wilrijk, Belgium;-
","1984
","International Journal of Parallel Programming
"
"Entity-relationship diagrams which are in BCNF
","Sushil Jajodia;Peter A. Ng;Frederick N. Springsteel
","University of Missouri, Columbia;-;Ballistic Missile Defense Advanced Technology Center, Huntsville, AL
","1984
","International Journal of Parallel Programming
"
"The computer comes of age
","Rene Moreau
","-
","1984
","The computer comes of age
"
"Computationally efficient algorithms for a one-time pad scheme
","A. G. Akritas;S. S. Lyengar;A. A. Rampuria
","Univ. of Kansas, Lawrence;Louisiana State Univ., Baton Rouge;Univ. of Kansas, Lawrence
","1984
","International Journal of Parallel Programming
"
"The hierarchical ordering in Multiattribute files
","C. C. Chang;M. W. Du;R. C. T. Lee
","National Chiao Tung Univ., Hsinchu, Republic of China;National Chiao Tung Univ., Hsinchu, Republic of China;National Tsing Hua Univ., Hsinchu, Republic of China
","1983
","Information Sciences: an International Journal
"
"Insertion languages
","David Haussler
","University of Denver, Denver, CO
","1983
","Information Sciences: an International Journal
"
"The Three-Machine No-Wait Flow Shop is NP-Complete
","Hans Röck
","Technical University of Berlin, Berlin, West Germany
","1984
","Journal of the ACM (JACM)
"
"Lower Bounds and Fast Algorithms for Sequence Acceleration
","George M. Trojan
","The Universtty of Western Ontario, London, Ontarto, Canada
","1984
","Journal of the ACM (JACM)
"
"Space-Time Trade-Offs for Banded Matrix Problems
","John E. Savage
","Brown Umversity, Providence, Rhode Island
","1984
","Journal of the ACM (JACM)
"
"The VLSI Complexity of Selected Graph Problems
","Joseph Já Já
","The Pennsylvania State Univ., University Park, PA
","1984
","Journal of the ACM (JACM)
"
"Computability with Pascal
","John S. Mallozzi;Nicholas J. De Lillo
","Iona College, New Rochelle, NY;Manhattan College, Bronx, NY
","1984
","Computability with Pascal
"
"Ambiguity and decision problems concerning number systems
","Karel Culik, II;Arto Salomaa
","Univ. of Waterloo, Waterloo, Ont., Canada;Univ. of Waterloo, Waterloo, Ont., Canada
","1984
","Information and Control
"
"The implication problem for functional and inclusion dependencies
","John C. Mitchell
","MIT, Cambridge, MA
","1984
","Information and Control
"
"Cynamic parallel memories
","Uzi Vishkin;Avi Wigderson
","New York Univ., New York, NY;Univ. of California, Berkeley
","1984
","Information and Control
"
"Succinct representations of graphs
","Hana Galperin;Avi Wigderson
","Mini Systems, Inc., Herzlia, Israel;Univ. of California, Berkeley
","1984
","Information and Control
"
"On storage media with after effects
","H. S. Witsenhausen;A. D. Wyner
","Bell Laboratories, Murray Hill, NJ;Bell Laboratories, Murray Hill, NJ
","1984
","Information and Control
"
"A necessary and sufficient condition in order that a Herbrand interpretation be expressive relative to recursive programs
","
","
","1984
","Information and Control
"
"Enclosing methods in perturbed nonlinear operator equations
","J W. Schmidt;H Schneider
","-;-
","1984
","Computing
"
"On two more Eigenvalue methods for an alternating sequential parallel system
","Y Wallach
","-
","1984
","Computing
"
"Random variate generation for unimodal and monotone densities
","L Devroye
","-
","1984
","Computing
"
"An approximation method of the local type. Application to a problem of heart potential mapping
","M Bozzini;F De Tisi;L Lenarduzzi
","-;-;-
","1984
","Computing
"
"Computing surfaces of constant mean curvature with singularities
","D E Hewgill
","-
","1984
","Computing
"
"Software engineering with MODULA-2 and ADA
","Richard Wiener;Richard Sincovec
","-;Univ. of Colorado, Colorado Springs
","1984
","Software engineering with MODULA-2 and ADA
"
